About|Tungkol|Tentang|Giới thiệu|เกี่ยวกับ|Acerca de|Sobre|À propos|Über|О программе
Game Info|Impormasyon ng laro|Info Game|Thông tin trò chơi|ข้อมูลเกม|Información del juego|Informações do jogo|Infos du jeu|Spielinfo|О игре
Automation|Awtomasyon|Otomatisasi|Tự động hóa|ระบบอัตโนมัติ|Automatización|Automação|Automatisation|Automatisierung|Автоматизация
Pets & Trails|Mga pet at trail|Pet & Jejak|Thú cưng & Vệt sáng|สัตว์เลี้ยงและเอฟเฟกต์ทางเดิน|Mascotas y estelas|Pets e rastros|Animaux et traînées|Begleiter & Spuren|Питомцы и следы
Rewards|Mga gantimpala|Hadiah|Phần thưởng|รางวัล|Recompensas|Recompensas|Récompenses|Belohnungen|Награды
Misc|Iba pa|Lainnya|Khác|อื่น ๆ|Varios|Diversos|Divers|Sonstiges|Разное
Game Tuning|Pagsasaayos ng laro|Pengaturan Game|Tinh chỉnh trò chơi|ปรับแต่งเกม|Ajustes del juego|Ajustes do jogo|Réglages du jeu|Spieleinstellungen|Настройка игры
Settings|Mga setting|Pengaturan|Cài đặt|การตั้งค่า|Configuración|Configurações|Paramètres|Einstellungen|Настройки
Feedback|Puna|Masukan|Góp ý|ข้อเสนอแนะ|Comentarios|Comentários|Commentaires|Feedback|Обратная связь
Appearance|Hitsura|Tampilan|Giao diện|รูปลักษณ์|Apariencia|Aparência|Apparence|Darstellung|Оформление
Interface|Interface|Antarmuka|Giao diện điều khiển|ส่วนติดต่อ|Interfaz|Interface|Interface|Oberfläche|Интерфейс
Profiles|Mga profile|Profil|Hồ sơ|โปรไฟล์|Perfiles|Perfis|Profils|Profile|Профили
Language|Wika|Bahasa|Ngôn ngữ|ภาษา|Idioma|Idioma|Langue|Sprache|Язык
Automatic (Roblox)|Awtomatiko (Roblox)|Otomatis (Roblox)|Tự động (Roblox)|อัตโนมัติ (Roblox)|Automático (Roblox)|Automático (Roblox)|Automatique (Roblox)|Automatisch (Roblox)|Автоматически (Roblox)
